location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2178,3916,Del Norte-2178,2022-05-03T05:00:00-06:00,35.1353,-106.584702,no2,ppm,0.008
2178,3916,Del Norte-2178,2022-05-03T06:00:00-06:00,35.1353,-106.584702,no2,ppm,0.027
2178,3916,Del Norte-2178,2022-05-03T07:00:00-06:00,35.1353,-106.584702,no2,ppm,0.029
2178,3916,Del Norte-2178,2022-05-03T08:00:00-06:00,35.1353,-106.584702,no2,ppm,0.022
2178,3916,Del Norte-2178,2022-05-03T09:00:00-06:00,35.1353,-106.584702,no2,ppm,0.008
2178,3916,Del Norte-2178,2022-05-03T10:00:00-06:00,35.1353,-106.584702,no2,ppm,0.006
2178,3916,Del Norte-2178,2022-05-03T11:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T12:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T13:00:00-06:00,35.1353,-106.584702,no2,ppm,0.002
2178,3916,Del Norte-2178,2022-05-03T14:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T15:00:00-06:00,35.1353,-106.584702,no2,ppm,0.002
2178,3916,Del Norte-2178,2022-05-03T16:00:00-06:00,35.1353,-106.584702,no2,ppm,0.005
2178,3916,Del Norte-2178,2022-05-03T17:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T18:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T19:00:00-06:00,35.1353,-106.584702,no2,ppm,0.002
2178,3916,Del Norte-2178,2022-05-03T20:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T21:00:00-06:00,35.1353,-106.584702,no2,ppm,0.002
2178,3916,Del Norte-2178,2022-05-03T22:00:00-06:00,35.1353,-106.584702,no2,ppm,0.003
2178,3916,Del Norte-2178,2022-05-03T23:00:00-06:00,35.1353,-106.584702,no2,ppm,0.002
2178,3916,Del Norte-2178,2022-05-04T00:00:00-06:00,35.1353,-106.584702,no2,ppm,0.001
2178,25227,Del Norte-2178,2022-05-03T01:00:00-06:00,35.1353,-106.584702,co,ppm,0.11
2178,25227,Del Norte-2178,2022-05-03T02:00:00-06:00,35.1353,-106.584702,co,ppm,0.1
2178,25227,Del Norte-2178,2022-05-03T03:00:00-06:00,35.1353,-106.584702,co,ppm,0.1
2178,25227,Del Norte-2178,2022-05-03T04:00:00-06:00,35.1353,-106.584702,co,ppm,0.09
2178,25227,Del Norte-2178,2022-05-03T05:00:00-06:00,35.1353,-106.584702,co,ppm,0.13
2178,25227,Del Norte-2178,2022-05-03T06:00:00-06:00,35.1353,-106.584702,co,ppm,0.3
2178,25227,Del Norte-2178,2022-05-03T07:00:00-06:00,35.1353,-106.584702,co,ppm,0.51
